Evaluation Type,Overall Success Rate,Timestamp,look_at_obj_in_light Success Rate,look_at_obj_in_light Episodes,pick_heat_then_place_in_recep Success Rate,pick_heat_then_place_in_recep Episodes,pick_two_obj_and_place Success Rate,pick_two_obj_and_place Episodes,pick_cool_then_place_in_recep Success Rate,pick_cool_then_place_in_recep Episodes,pick_and_place_simple Success Rate,pick_and_place_simple Episodes,pick_clean_then_place_in_recep Success Rate,pick_clean_then_place_in_recep Episodes
In-Distribution,50.00%,20250513_094724,50.00%,6,100.00%,2,50.00%,2,50.00%,4,0.00%,2,,
Out-of-Distribution,50.00%,20250513_094724,33.33%,3,50.00%,4,50.00%,2,100.00%,2,0.00%,3,100.00%,2.0
