Evaluation Type,Overall Success Rate,Timestamp,pick_and_place_simple Success Rate,pick_and_place_simple Episodes,pick_clean_then_place_in_recep Success Rate,pick_clean_then_place_in_recep Episodes,look_at_obj_in_light Success Rate,look_at_obj_in_light Episodes,pick_two_obj_and_place Success Rate,pick_two_obj_and_place Episodes,pick_cool_then_place_in_recep Success Rate,pick_cool_then_place_in_recep Episodes,pick_heat_then_place_in_recep Success Rate,pick_heat_then_place_in_recep Episodes
In-Distribution,50.00%,20250513_094254,66.67%,3.0,75.00%,4,100.00%,2,100.00%,1.0,0.00%,4,0.00%,2
Out-of-Distribution,50.00%,20250513_094254,,,50.00%,4,75.00%,4,,,25.00%,4,50.00%,4
